CH1,N,CH2
-0.000025,4.800000,2.800000
-0.000025,5.000000,2.880000
-0.000025,5.000000,2.880000
-0.000025,5.000000,2.800000
-0.000025,5.000000,2.800000
-0.000025,4.800000,2.720000
-0.000025,5.000000,2.720000
-0.000025,5.000000,2.800000
-0.000025,5.000000,2.640000
-0.000025,5.200000,2.640000
-0.000025,5.000000,2.640000
-0.000025,4.800000,2.720000
-0.000025,5.200000,2.640000
-0.000025,5.200000,2.640000
-0.000025,5.200000,2.560000
-0.000025,5.000000,2.480000
-0.000025,5.200000,2.560000
-0.000025,5.000000,2.480000
-0.000025,5.000000,2.480000
-0.000025,5.000000,2.480000
-0.000025,4.800000,2.400000
-0.000025,5.000000,2.400000
-0.000025,5.200000,2.400000
-0.000025,5.000000,2.320000
-0.000025,5.000000,2.320000
-0.000025,5.000000,2.400000
-0.000024,5.000000,2.400000
-0.000024,4.800000,2.240000
-0.000024,5.000000,2.320000
-0.000024,5.200000,2.320000
-0.000024,5.000000,2.320000
-0.000024,5.000000,2.160000
-0.000024,5.000000,2.240000
-0.000024,4.800000,2.160000
-0.000024,4.800000,2.160000
-0.000024,5.000000,2.160000
-0.000024,5.000000,2.160000
-0.000024,5.000000,2.080000
-0.000024,5.000000,2.080000
-0.000024,5.000000,2.000000
-0.000024,5.000000,2.080000
-0.000024,5.000000,2.000000
-0.000024,5.000000,2.080000
-0.000024,4.800000,1.840000
-0.000024,4.800000,1.920000
-0.000024,5.000000,1.840000
-0.000024,4.800000,1.920000
-0.000024,4.800000,1.760000
-0.000024,4.800000,1.760000
-0.000024,4.800000,1.840000
-0.000024,5.000000,1.840000
-0.000024,5.000000,1.840000
-0.000024,5.200000,1.840000
-0.000024,4.800000,1.680000
-0.000024,4.800000,1.680000
-0.000024,5.200000,1.760000
-0.000024,4.800000,1.680000
-0.000024,5.000000,1.680000
-0.000024,5.000000,1.600000
-0.000024,4.800000,1.600000
-0.000024,4.800000,1.520000
-0.000024,5.000000,1.600000
-0.000024,5.000000,1.520000
-0.000024,5.200000,1.440000
-0.000024,5.000000,1.440000
-0.000024,5.000000,1.520000
-0.000024,5.200000,1.520000
-0.000024,5.000000,1.440000
-0.000024,5.000000,1.440000
-0.000024,5.000000,1.360000
-0.000024,4.800000,1.440000
-0.000024,4.800000,1.360000
-0.000024,5.000000,1.360000
-0.000024,5.000000,1.360000
-0.000024,5.000000,1.360000
-0.000024,5.000000,1.280000
-0.000023,5.000000,1.200000
-0.000023,5.000000,1.200000
-0.000023,4.800000,1.200000
-0.000023,5.000000,1.200000
-0.000023,5.000000,1.200000
-0.000023,5.000000,1.120000
-0.000023,4.800000,1.200000
-0.000023,5.000000,1.200000
-0.000023,4.800000,1.040000
-0.000023,4.800000,1.200000
-0.000023,5.000000,1.120000
-0.000023,4.800000,1.040000
-0.000023,4.800000,1.040000
-0.000023,5.000000,1.040000
-0.000023,5.000000,0.960000
-0.000023,5.000000,0.960000
-0.000023,5.000000,0.960000
-0.000023,5.000000,0.960000
-0.000023,4.800000,0.960000
-0.000023,5.000000,0.880000
-0.000023,5.000000,0.880000
-0.000023,4.800000,0.960000
-0.000023,4.600000,0.880000
-0.000023,5.000000,0.800000
-0.000023,5.000000,0.800000
-0.000023,5.000000,0.880000
-0.000023,4.800000,0.800000
-0.000023,5.000000,0.800000
-0.000023,4.800000,0.800000
-0.000023,5.000000,0.720000
-0.000023,4.800000,0.720000
-0.000023,5.000000,0.800000
-0.000023,5.000000,0.800000
-0.000023,5.000000,0.800000
-0.000023,5.000000,0.720000
-0.000023,4.800000,0.560000
-0.000023,5.000000,0.720000
-0.000023,4.800000,0.720000
-0.000023,5.000000,0.720000
-0.000023,5.000000,0.640000
-0.000023,5.000000,0.560000
-0.000023,5.000000,0.480000
-0.000023,5.000000,0.640000
-0.000023,5.000000,0.560000
-0.000023,4.800000,0.560000
-0.000023,5.000000,0.640000
-0.000023,5.000000,0.480000
-0.000023,5.000000,0.560000
-0.000023,5.000000,0.480000
-0.000023,5.000000,0.560000
-0.000022,5.000000,0.560000
-0.000022,5.000000,0.560000
-0.000022,5.000000,0.400000
-0.000022,4.800000,0.480000
-0.000022,4.800000,0.400000
-0.000022,4.800000,0.480000
-0.000022,4.800000,0.400000
-0.000022,5.200000,0.400000
-0.000022,5.000000,0.480000
-0.000022,4.800000,0.320000
-0.000022,4.800000,0.400000
-0.000022,4.800000,0.320000
-0.000022,5.000000,0.320000
-0.000022,5.200000,0.400000
-0.000022,5.000000,0.320000
-0.000022,4.800000,0.320000
-0.000022,5.000000,0.240000
-0.000022,5.000000,0.320000
-0.000022,5.000000,0.240000
-0.000022,5.000000,0.320000
-0.000022,4.800000,0.320000
-0.000022,5.000000,0.240000
-0.000022,4.800000,0.240000
-0.000022,5.200000,0.240000
-0.000022,5.000000,0.320000
-0.000022,4.800000,0.240000
-0.000022,5.000000,0.320000
-0.000022,5.000000,0.320000
-0.000022,5.000000,0.240000
-0.000022,5.000000,0.160000
-0.000022,5.000000,0.240000
-0.000022,5.000000,0.240000
-0.000022,5.000000,0.160000
-0.000022,4.800000,0.240000
-0.000022,5.000000,0.160000
-0.000022,4.800000,0.160000
-0.000022,5.000000,0.160000
-0.000022,5.000000,0.160000
-0.000022,5.000000,0.160000
-0.000022,4.800000,0.160000
-0.000022,5.000000,0.160000
-0.000022,5.000000,0.160000
-0.000022,5.000000,0.080000
-0.000022,4.800000,0.080000
-0.000022,5.000000,0.080000
-0.000022,5.000000,0.080000
-0.000022,5.000000,0.080000
-0.000022,5.000000,0.080000
-0.000022,5.000000,0.000000
-0.000022,5.000000,0.080000
-0.000021,4.800000,0.080000
-0.000021,4.800000,0.080000
-0.000021,5.000000,0.080000
-0.000021,5.000000,0.080000
-0.000021,5.000000,0.080000
-0.000021,5.000000,0.080000
-0.000021,5.000000,0.080000
-0.000021,4.800000,0.000000
-0.000021,4.800000,0.080000
-0.000021,4.800000,0.080000
-0.000021,5.000000,0.000000
-0.000021,5.000000,0.080000
-0.000021,4.800000,0.080000
-0.000021,5.000000,0.000000
-0.000021,5.000000,0.000000
-0.000021,5.000000,0.000000
-0.000021,5.200000,-0.080000
-0.000021,5.000000,0.000000
-0.000021,4.800000,0.000000
-0.000021,4.800000,-0.080000
-0.000021,4.800000,0.000000
-0.000021,4.800000,-0.080000
-0.000021,5.000000,0.000000
-0.000021,5.000000,-0.080000
-0.000021,5.000000,0.080000
-0.000021,5.000000,0.000000
-0.000021,5.000000,-0.080000
-0.000021,4.800000,-0.080000
-0.000021,5.000000,0.000000
-0.000021,5.000000,0.080000
-0.000021,4.800000,-0.080000
-0.000021,5.000000,-0.080000
-0.000021,5.000000,0.000000
-0.000021,5.000000,-0.080000
-0.000021,5.200000,0.000000
-0.000021,5.000000,0.000000
-0.000021,5.000000,0.000000
-0.000021,4.800000,-0.080000
-0.000021,5.200000,-0.080000
-0.000021,4.800000,-0.080000
-0.000021,4.800000,0.000000
-0.000021,5.000000,-0.080000
-0.000021,4.800000,0.000000
-0.000021,5.000000,0.000000
-0.000021,4.800000,-0.080000
-0.000021,4.800000,-0.080000
-0.000021,5.200000,-0.080000
-0.000021,5.000000,-0.080000
-0.000021,4.800000,-0.080000
-0.000021,5.000000,-0.080000
-0.000020,4.800000,-0.080000
-0.000020,5.000000,-0.080000
-0.000020,5.000000,0.000000
-0.000020,5.000000,-0.160000
-0.000020,4.800000,-0.160000
-0.000020,4.600000,0.000000
-0.000020,4.800000,0.000000
-0.000020,5.000000,-0.080000
-0.000020,5.000000,-0.160000
-0.000020,5.000000,-0.160000
-0.000020,5.000000,-0.080000
-0.000020,5.000000,0.000000
-0.000020,5.000000,0.000000
-0.000020,4.800000,-0.080000
-0.000020,4.800000,-0.080000
-0.000020,5.000000,-0.080000
-0.000020,5.000000,-0.080000
-0.000020,5.000000,-0.080000
-0.000020,5.000000,-0.160000
-0.000020,4.800000,-0.160000
-0.000020,4.800000,-0.080000
-0.000020,5.000000,-0.080000
-0.000020,5.000000,-0.080000
-0.000020,5.000000,-0.080000
-0.000020,5.000000,-0.080000
-0.000020,4.800000,-0.160000
-0.000020,5.000000,-0.080000
-0.000020,5.000000,-0.080000
-0.000020,4.800000,-0.080000
-0.000020,5.000000,-0.160000
-0.000020,5.000000,-0.080000
-0.000020,5.000000,-0.160000
-0.000020,4.800000,-0.160000
-0.000020,5.000000,-0.080000
-0.000020,5.000000,-0.080000
-0.000020,4.800000,0.000000
-0.000020,5.200000,0.000000
-0.000020,5.000000,-0.080000
-0.000020,5.000000,-0.160000
-0.000020,5.200000,-0.080000
-0.000020,5.000000,-0.080000
-0.000020,5.000000,0.000000
-0.000020,5.000000,-0.080000
-0.000020,4.800000,-0.080000
-0.000020,5.400000,-0.080000
